Node,Degree Centrality
schfess,0.141321044546851
sbmptnfess,0.07910906298003072
subschfess,0.07104454685099847
sabdaps,0.01881720430107527
zenius_oliv,0.018433179723502304
bertanyarl,0.01728110599078341
hopefullyperf,0.016897081413210446
convomf,0.013824884792626727
utbkfess,0.012672811059907835
byunpov,0.008832565284178187
ambisfs,0.007296466973886329
zenambis,0.007296466973886329
vickyutami2,0.006528417818740399
gapyearfess,0.00576036866359447
smkfess,0.0038402457757296467
keyystudies,0.0038402457757296467
zen_kakyuni,0.0030721966205837174
msputraaz,0.0030721966205837174
zenbyzaa,0.002688172043010753
panggilajazul,0.002688172043010753
ftievi,0.002688172043010753
zeniusambis,0.002688172043010753
amsterdamlaf,0.002688172043010753
pfmmipy,0.002304147465437788
txtapaadanya,0.002304147465437788
sharon_zenius,0.002304147465437788
cittairlanie,0.002304147465437788
taeexyz,0.002304147465437788
dekapanfiksii,0.002304147465437788
atypicali,0.0019201228878648233
student_fess,0.0019201228878648233
shourtcakee,0.0019201228878648233
whentheweather,0.0019201228878648233
sedikidnormal,0.0019201228878648233
helloyoon4,0.0019201228878648233
tetsuuuuuw,0.0019201228878648233
ambverss,0.0019201228878648233
itzjaraaa,0.0019201228878648233
quip_zenshare,0.0019201228878648233
englishfess_,0.0019201228878648233
matchamaeleon,0.0019201228878648233
aurellovee,0.0019201228878648233
pshstudy,0.0015360983102918587
syifakyung,0.0015360983102918587
itsmechelllllll,0.0015360983102918587
r4bbiiit,0.0015360983102918587
bnauree,0.0015360983102918587
azaleyyaa,0.0015360983102918587
jpfbase,0.0015360983102918587
1975nk,0.0015360983102918587
jeromepolin,0.0015360983102918587
audorebel,0.0015360983102918587
pasukanambis,0.0015360983102918587
badp3ople,0.0015360983102918587
mystruggle___,0.0015360983102918587
bucincimolll,0.0015360983102918587
madamemoisse,0.0015360983102918587
ssophrosynee,0.0015360983102918587
uburuburuu,0.0015360983102918587
vazlae,0.0015360983102918587
preciousjh17,0.0015360983102918587
stanmenfess,0.0015360983102918587
